HITId,WorkerID,handle,rating,WorkTimeInSeconds,secsSince1970,twitter,pk_1,pk_2,pk_3,trump_minus_bernie,mturk_run
3S1L4CQSFXRVKAMCOTPO4POY9EWFAB,A101TTS7WAVXAV,andre,4,354,1607690737,1,1,2,amy beret,6,1
3S1L4CQSFXRVKAMCOTPO4POY9EWFAB,A101TTS7WAVXAV,AnnCurry,1,354,1607690737,1,1,2,amy beret,6,1
3S1L4CQSFXRVKAMCOTPO4POY9EWFAB,A101TTS7WAVXAV,AustinMahone,4,354,1607690737,1,1,2,amy beret,6,1
3S1L4CQSFXRVKAMCOTPO4POY9EWFAB,A101TTS7WAVXAV,billieeilish,4,354,1607690737,1,1,2,amy beret,6,1
3S1L4CQSFXRVKAMCOTPO4POY9EWFAB,A101TTS7WAVXAV,blakegriffin23,4,354,1607690737,1,1,2,amy beret,6,1
3S1L4CQSFXRVKAMCOTPO4POY9EWFAB,A101TTS7WAVXAV,Caitlyn_Jenner,2,354,1607690737,1,1,2,amy beret,6,1
3S1L4CQSFXRVKAMCOTPO4POY9EWFAB,A101TTS7WAVXAV,Cantguardmike,4,354,1607690737,1,1,2,amy beret,6,1
3S1L4CQSFXRVKAMCOTPO4POY9EWFAB,A101TTS7WAVXAV,CHICKLET_HF,4,354,1607690737,1,1,2,amy beret,6,1
3S1L4CQSFXRVKAMCOTPO4POY9EWFAB,A101TTS7WAVXAV,davidhogg111,2,354,1607690737,1,1,2,amy beret,6,1
3S1L4CQSFXRVKAMCOTPO4POY9EWFAB,A101TTS7WAVXAV,ddale8,4,354,1607690737,1,1,2,amy beret,6,1
3S1L4CQSFXRVKAMCOTPO4POY9EWFAB,A101TTS7WAVXAV,GatenM123,4,354,1607690737,1,1,2,amy beret,6,1
3S1L4CQSFXRVKAMCOTPO4POY9EWFAB,A101TTS7WAVXAV,iamblackbear,6,354,1607690737,1,1,2,amy beret,6,1
3S1L4CQSFXRVKAMCOTPO4POY9EWFAB,A101TTS7WAVXAV,jccaylen,4,354,1607690737,1,1,2,amy beret,6,1
3S1L4CQSFXRVKAMCOTPO4POY9EWFAB,A101TTS7WAVXAV,kenjeong,4,354,1607690737,1,1,2,amy beret,6,1
3S1L4CQSFXRVKAMCOTPO4POY9EWFAB,A101TTS7WAVXAV,KhadiDon,4,354,1607690737,1,1,2,amy beret,6,1
3S1L4CQSFXRVKAMCOTPO4POY9EWFAB,A101TTS7WAVXAV,Kurkjian_ESPN,4,354,1607690737,1,1,2,amy beret,6,1
3S1L4CQSFXRVKAMCOTPO4POY9EWFAB,A101TTS7WAVXAV,MaraWilson,1,354,1607690737,1,1,2,amy beret,6,1
3S1L4CQSFXRVKAMCOTPO4POY9EWFAB,A101TTS7WAVXAV,markhoppus,6,354,1607690737,1,1,2,amy beret,6,1
3S1L4CQSFXRVKAMCOTPO4POY9EWFAB,A101TTS7WAVXAV,MichaelVick,4,354,1607690737,1,1,2,amy beret,6,1
3S1L4CQSFXRVKAMCOTPO4POY9EWFAB,A101TTS7WAVXAV,realjknoxville,4,354,1607690737,1,1,2,amy beret,6,1
3S1L4CQSFXRVKAMCOTPO4POY9EWFAB,A101TTS7WAVXAV,ryanfoland,4,354,1607690737,1,1,2,amy beret,6,1
3S1L4CQSFXRVKAMCOTPO4POY9EWFAB,A101TTS7WAVXAV,RyanSeacrest,2,354,1607690737,1,1,2,amy beret,6,1
3S1L4CQSFXRVKAMCOTPO4POY9EWFAB,A101TTS7WAVXAV,sza,4,354,1607690737,1,1,2,amy beret,6,1
3S1L4CQSFXRVKAMCOTPO4POY9EWFAB,A101TTS7WAVXAV,TeaPainUSA,6,354,1607690737,1,1,2,amy beret,6,1
3S1L4CQSFXRVKAMCOTPO4POY9EWFAB,A101TTS7WAVXAV,TripleH,4,354,1607690737,1,1,2,amy beret,6,1
3S1L4CQSFXRVKAMCOTPO4POY9EWFAB,A101TTS7WAVXAV,WaltDisneyWorld,2,354,1607690737,1,1,2,amy beret,6,1
3S1L4CQSFXRVKAMCOTPO4POY9EWFAB,A101TTS7WAVXAV,WhoopiGoldberg,1,354,1607690737,1,1,2,amy beret,6,1
3S1L4CQSFXRVKAMCOTPO4POY9EWFAB,A101TTS7WAVXAV,zachbraff,4,354,1607690737,1,1,2,amy beret,6,1
38VTL6WC4AZ4EVRQYNQVLZFSNBKY5K,A10IUXCZBNYUXC,ashanti,2,207,1607664604,1,1,2,amy barrett,6,1
38VTL6WC4AZ4EVRQYNQVLZFSNBKY5K,A10IUXCZBNYUXC,BenAffleck,5,207,1607664604,1,1,2,amy barrett,6,1
38VTL6WC4AZ4EVRQYNQVLZFSNBKY5K,A10IUXCZBNYUXC,billboard,4,207,1607664604,1,1,2,amy barrett,6,1
38VTL6WC4AZ4EVRQYNQVLZFSNBKY5K,A10IUXCZBNYUXC,CFBPlayoff,4,207,1607664604,1,1,2,amy barrett,6,1
38VTL6WC4AZ4EVRQYNQVLZFSNBKY5K,A10IUXCZBNYUXC,ClayTravis,6,207,1607664604,1,1,2,amy barrett,6,1
38VTL6WC4AZ4EVRQYNQVLZFSNBKY5K,A10IUXCZBNYUXC,coldplay,2,207,1607664604,1,1,2,amy barrett,6,1
38VTL6WC4AZ4EVRQYNQVLZFSNBKY5K,A10IUXCZBNYUXC,davidguetta,3,207,1607664604,1,1,2,amy barrett,6,1
38VTL6WC4AZ4EVRQYNQVLZFSNBKY5K,A10IUXCZBNYUXC,DCComics,4,207,1607664604,1,1,2,amy barrett,6,1
38VTL6WC4AZ4EVRQYNQVLZFSNBKY5K,A10IUXCZBNYUXC,DHSgov,7,207,1607664604,1,1,2,amy barrett,6,1
38VTL6WC4AZ4EVRQYNQVLZFSNBKY5K,A10IUXCZBNYUXC,elonmusk,3,207,1607664604,1,1,2,amy barrett,6,1
38VTL6WC4AZ4EVRQYNQVLZFSNBKY5K,A10IUXCZBNYUXC,funnyordie,2,207,1607664604,1,1,2,amy barrett,6,1
38VTL6WC4AZ4EVRQYNQVLZFSNBKY5K,A10IUXCZBNYUXC,jasonsegel,2,207,1607664604,1,1,2,amy barrett,6,1
38VTL6WC4AZ4EVRQYNQVLZFSNBKY5K,A10IUXCZBNYUXC,JohnMayer,6,207,1607664604,1,1,2,amy barrett,6,1
38VTL6WC4AZ4EVRQYNQVLZFSNBKY5K,A10IUXCZBNYUXC,mindykaling,2,207,1607664604,1,1,2,amy barrett,6,1
38VTL6WC4AZ4EVRQYNQVLZFSNBKY5K,A10IUXCZBNYUXC,MMFlint,1,207,1607664604,1,1,2,amy barrett,6,1
38VTL6WC4AZ4EVRQYNQVLZFSNBKY5K,A10IUXCZBNYUXC,NathanFillion,5,207,1607664604,1,1,2,amy barrett,6,1
38VTL6WC4AZ4EVRQYNQVLZFSNBKY5K,A10IUXCZBNYUXC,nbc,2,207,1607664604,1,1,2,amy barrett,6,1
38VTL6WC4AZ4EVRQYNQVLZFSNBKY5K,A10IUXCZBNYUXC,Newsweek,3,207,1607664604,1,1,2,amy barrett,6,1
38VTL6WC4AZ4EVRQYNQVLZFSNBKY5K,A10IUXCZBNYUXC,packers,4,207,1607664604,1,1,2,amy barrett,6,1
38VTL6WC4AZ4EVRQYNQVLZFSNBKY5K,A10IUXCZBNYUXC,pitchfork,2,207,1607664604,1,1,2,amy barrett,6,1
38VTL6WC4AZ4EVRQYNQVLZFSNBKY5K,A10IUXCZBNYUXC,PodSaveAmerica,4,207,1607664604,1,1,2,amy barrett,6,1
38VTL6WC4AZ4EVRQYNQVLZFSNBKY5K,A10IUXCZBNYUXC,Ravens,4,207,1607664604,1,1,2,amy barrett,6,1
38VTL6WC4AZ4EVRQYNQVLZFSNBKY5K,A10IUXCZBNYUXC,SeinfeldToday,4,207,1607664604,1,1,2,amy barrett,6,1
38VTL6WC4AZ4EVRQYNQVLZFSNBKY5K,A10IUXCZBNYUXC,TheWeirdWorld,4,207,1607664604,1,1,2,amy barrett,6,1
38VTL6WC4AZ4EVRQYNQVLZFSNBKY5K,A10IUXCZBNYUXC,VicenteFoxQue,6,207,1607664604,1,1,2,amy barrett,6,1
38VTL6WC4AZ4EVRQYNQVLZFSNBKY5K,A10IUXCZBNYUXC,yashar,3,207,1607664604,1,1,2,amy barrett,6,1
38VTL6WC4AZ4EVRQYNQVLZFSNBKY5K,A10IUXCZBNYUXC,YesYoureRacist,1,207,1607664604,1,1,2,amy barrett,6,1
38VTL6WC4AZ4EVRQYNQVLZFSNBKY5K,A10IUXCZBNYUXC,ZachLowe_NBA,4,207,1607664604,1,1,2,amy barrett,6,1
3ECKRY5B1QIGV9WA1TB8OFSZYRUZIM,A10RPI745Y429J,ACLU,1,340,1607689775,1,1,2,amy coney barrett,6,1
3ECKRY5B1QIGV9WA1TB8OFSZYRUZIM,A10RPI745Y429J,AdrianPeterson,7,340,1607689775,1,1,2,amy coney barrett,6,1
3ECKRY5B1QIGV9WA1TB8OFSZYRUZIM,A10RPI745Y429J,Arbys,4,340,1607689775,1,1,2,amy coney barrett,6,1
3ECKRY5B1QIGV9WA1TB8OFSZYRUZIM,A10RPI745Y429J,DerekCressman,1,340,1607689775,1,1,2,amy coney barrett,6,1
3ECKRY5B1QIGV9WA1TB8OFSZYRUZIM,A10RPI745Y429J,DiamondandSilk,7,340,1607689775,1,1,2,amy coney barrett,6,1
3ECKRY5B1QIGV9WA1TB8OFSZYRUZIM,A10RPI745Y429J,funder,1,340,1607689775,1,1,2,amy coney barrett,6,1
3ECKRY5B1QIGV9WA1TB8OFSZYRUZIM,A10RPI745Y429J,gameinformer,4,340,1607689775,1,1,2,amy coney barrett,6,1
3ECKRY5B1QIGV9WA1TB8OFSZYRUZIM,A10RPI745Y429J,instagram,4,340,1607689775,1,1,2,amy coney barrett,6,1
3ECKRY5B1QIGV9WA1TB8OFSZYRUZIM,A10RPI745Y429J,jordynwoods,4,340,1607689775,1,1,2,amy coney barrett,6,1
3ECKRY5B1QIGV9WA1TB8OFSZYRUZIM,A10RPI745Y429J,KevinSpacey,3,340,1607689775,1,1,2,amy coney barrett,6,1
3ECKRY5B1QIGV9WA1TB8OFSZYRUZIM,A10RPI745Y429J,LouyFierce,4,340,1607689775,1,1,2,amy coney barrett,6,1
3ECKRY5B1QIGV9WA1TB8OFSZYRUZIM,A10RPI745Y429J,marklevinshow,7,340,1607689775,1,1,2,amy coney barrett,6,1
3ECKRY5B1QIGV9WA1TB8OFSZYRUZIM,A10RPI745Y429J,MatPatGT,4,340,1607689775,1,1,2,amy coney barrett,6,1
3ECKRY5B1QIGV9WA1TB8OFSZYRUZIM,A10RPI745Y429J,McConaughey,3,340,1607689775,1,1,2,amy coney barrett,6,1
3ECKRY5B1QIGV9WA1TB8OFSZYRUZIM,A10RPI745Y429J,mradamscott,2,340,1607689775,1,1,2,amy coney barrett,6,1
3ECKRY5B1QIGV9WA1TB8OFSZYRUZIM,A10RPI745Y429J,nbc,4,340,1607689775,1,1,2,amy coney barrett,6,1
3ECKRY5B1QIGV9WA1TB8OFSZYRUZIM,A10RPI745Y429J,NewsHour,3,340,1607689775,1,1,2,amy coney barrett,6,1
3ECKRY5B1QIGV9WA1TB8OFSZYRUZIM,A10RPI745Y429J,NFLonFOX,4,340,1607689775,1,1,2,amy coney barrett,6,1
3ECKRY5B1QIGV9WA1TB8OFSZYRUZIM,A10RPI745Y429J,NOTSportsCenter,4,340,1607689775,1,1,2,amy coney barrett,6,1
3ECKRY5B1QIGV9WA1TB8OFSZYRUZIM,A10RPI745Y429J,POTUS,7,340,1607689775,1,1,2,amy coney barrett,6,1
3ECKRY5B1QIGV9WA1TB8OFSZYRUZIM,A10RPI745Y429J,premierleague,4,340,1607689775,1,1,2,amy coney barrett,6,1
3ECKRY5B1QIGV9WA1TB8OFSZYRUZIM,A10RPI745Y429J,Ronnie2K,3,340,1607689775,1,1,2,amy coney barrett,6,1
3ECKRY5B1QIGV9WA1TB8OFSZYRUZIM,A10RPI745Y429J,SamHarrisOrg,2,340,1607689775,1,1,2,amy coney barrett,6,1
3ECKRY5B1QIGV9WA1TB8OFSZYRUZIM,A10RPI745Y429J,TGowdySC,6,340,1607689775,1,1,2,amy coney barrett,6,1
3ECKRY5B1QIGV9WA1TB8OFSZYRUZIM,A10RPI745Y429J,thehill,5,340,1607689775,1,1,2,amy coney barrett,6,1
3ECKRY5B1QIGV9WA1TB8OFSZYRUZIM,A10RPI745Y429J,TheSteinLine,4,340,1607689775,1,1,2,amy coney barrett,6,1
3ECKRY5B1QIGV9WA1TB8OFSZYRUZIM,A10RPI745Y429J,Windows,4,340,1607689775,1,1,2,amy coney barrett,6,1
3ECKRY5B1QIGV9WA1TB8OFSZYRUZIM,A10RPI745Y429J,YFNLUCCI,4,340,1607689775,1,1,2,amy coney barrett,6,1
38VTL6WC4AZ4EVRQYNQVLZFSNTNY5N,A10TIDLXVV9Q4K,NikitaDragun,1,54,1609111830,2,0,0,mike pence,4,2
363A7XIFV48KG782O8USMBRKXQMVAH,A10WRBLV9NMNH9,SchadenJake,8,45,1609192182,1,1,2,a female,5,2
3EFNPKWBMSA43L81CWRTEANOX2F30Z,A1153ZIEQX0ZJ8,algore,1,265,1607662728,1,1,2,justice amy coney barett,6,1
3EFNPKWBMSA43L81CWRTEANOX2F30Z,A1153ZIEQX0ZJ8,BeschlossDC,8,265,1607662728,1,1,2,justice amy coney barett,6,1
3EFNPKWBMSA43L81CWRTEANOX2F30Z,A1153ZIEQX0ZJ8,Buster_ESPN,8,265,1607662728,1,1,2,justice amy coney barett,6,1
3EFNPKWBMSA43L81CWRTEANOX2F30Z,A1153ZIEQX0ZJ8,CNET,1,265,1607662728,1,1,2,justice amy coney barett,6,1
3EFNPKWBMSA43L81CWRTEANOX2F30Z,A1153ZIEQX0ZJ8,DepressedDarth,8,265,1607662728,1,1,2,justice amy coney barett,6,1
3EFNPKWBMSA43L81CWRTEANOX2F30Z,A1153ZIEQX0ZJ8,djenvy,8,265,1607662728,1,1,2,justice amy coney barett,6,1
3EFNPKWBMSA43L81CWRTEANOX2F30Z,A1153ZIEQX0ZJ8,elliegoulding,1,265,1607662728,1,1,2,justice amy coney barett,6,1
