handle,sector1,sector2,sector3
BarackObama,political figure,,
realDonaldTrump,political figure,,
TheEllenShow,entertainment,,
Drake,entertainment,,
kanyewest,entertainment,,
SportsCenter,sports,entertainment,
rihanna,entertainment,,
CNN,media outlet,,
elonmusk,public figure,,
cnnbrk,media outlet,,
jimmyfallon,entertainment,,
espn,media outlet,sports,
chrissyteigen,entertainment,,
HillaryClinton,political figure,,
nytimes,media outlet,,
POTUS,political figure,,
POTUS44,political figure,,
ArianaGrande,entertainment,,
KingJames,sports,,
iamcardib,entertainment,,
NFL,sports,,
AOC,political figure,,
AP,media outlet,,
MichelleObama,public figure,political figure,
chancetherapper,entertainment,,
KimKardashian,entertainment,,
JColeNC,entertainment,,
SenSanders,political figure,,
justinbieber,entertainment,,
NASA,organization,,
NBA,sports,,
KevinHart4real,entertainment,,
taylorswift13,entertainment,,
neiltyson,public figure,,
kendricklamar,entertainment,,
washingtonpost,media outlet,,
jtimberlake,entertainment,,
KylieJenner,entertainment,,
VancityReynolds,entertainment,,
YouTube,brand,,
LilTunechi,entertainment,,
StephenAtHome,political pundit,,
khloekardashian,entertainment,,
Oprah,entertainment,,
BernieSanders,political figure,,
BleacherReport,media outlet,sports,
ChrisEvans,entertainment,,
PostMalone,entertainment,,
trvisXX,entertainment,,
Twitter,brand,,
WhiteHouse,organization,,
RobertDowneyJr,entertainment,,
SenWarren,political figure,,
WSJ,media outlet,,
ladygaga,entertainment,,
JohnLegere,public figure,,
TheRock,entertainment,,
katyperry,entertainment,,
MileyCyrus,entertainment,,
Zendaya,entertainment,,
ConanOBrien,entertainment,,
BillGates,public figure,,
BBCBreaking,media outlet,,
Eminem,entertainment,,
instagram,brand,,
ActuallyNPH,entertainment,,
chrisbrown,entertainment,,
KDTrey5,sports,,
KendallJenner,entertainment,,
selenagomez,entertainment,,
maddow,hard news,,
MLB,sports,,
theweeknd,entertainment,,
wizkhalifa,entertainment,,
andersoncooper,hard news,,
BillClinton,political figure,,
netflix,brand,,
JimCarrey,entertainment,,
SethMacFarlane,entertainment,,
tylerthecreator,entertainment,,
dog_feelings,meme,,
jk_rowling,entertainment,public figure,
kourtneykardash,entertainment,,
tomhanks,entertainment,,
BBCWorld,media outlet,,
danieltosh,entertainment,,
prattprattpratt,entertainment,,
Sethrogen,entertainment,,
wojespn,sports,,
colesprouse,entertainment,,
EmmaWatson,entertainment,,
FoxNews,media outlet,,
KamalaHarris,political figure,,
kobebryant,sports,,
StephenCurry30,sports,,
NPR,media outlet,,
ObamaWhiteHouse,political figure,,
WORLDSTAR,media outlet,,
BigSean,entertainment,,
NICKIMINAJ,entertainment,,
Reuters,media outlet,,
TheOnion,media outlet,,
FLOTUS,political figure,public figure,
