"elite","followers"
"Wendys","443"
"Target","157"
"KaceyMusgraves","113"
"ChelseaClinton","409"
"dog_feelings","443"
"NICKIMINAJ","560"
"MonicaLewinsky","127"
"chrissyteigen","952"
"AnnaKendrick47","533"
"jamessmurray","94"
"bestofnextdoor","119"
"chelseahandler","388"
"ColleenB123","121"
"EmmaWatson","575"
"iamcardib","911"
"CupcakKe_rapper","146"
"loneblockbuster","98"
"JKCorden","204"
"samsmith","174"
"cher","301"
"VancityReynolds","808"
"billyeichner","224"
"Adele","361"
"lindsaylohan","200"
"BrunoMars","447"
"jtimberlake","809"
"ParisHilton","168"
"rihanna","1306"
"prattprattpratt","596"
"RuPaul","166"
"BarackObama","2708"
"FLOTUS44","494"
"FLOTUS","590"
"HillaryClinton","1022"
"Pink","427"
"britneyspears","476"
"amyschumer","342"
"ArianaGrande","1055"
"nytimes","1086"
"jimmykimmel","573"
"MileyCyrus","688"
"justinbieber","774"
"kanyewest","1225"
"andersoncooper","577"
"lenadunham","163"
"ActuallyNPH","672"
"jimmyfallon","1206"
"sethmeyers","333"
"Caitlyn_Jenner","173"
"Reuters","501"
"azizansari","398"
"SarahKSilverman","561"
"funnyordie","380"
"mindykaling","400"
"enews","294"
"katyperry","729"
"selenagomez","635"
"danieltosh","644"
"WSJ","623"
"ladygaga","827"
"KimKardashian","960"
"TheEllenShow","1440"
"mashable","306"
"taylorswift13","757"
"LukeBryanOnline","243"
"SethMacFarlane","586"
"cnnbrk","1096"
"JerrySeinfeld","311"
"NPR","615"
"EarnKnowledge","152"
"MoneyBaggYo","123"
"businessinsider","145"
"Eagles","180"
"rogerhamilton","137"
"Lakers","313"
"Genius","148"
"ESPNStatsInfo","291"
"ZachBoychuk","156"
"DailyRapFacts","148"
"stephenasmith","485"
"espn","1082"
"AriTheDon","67"
"DemetriusHarmon","481"
"Sethrogen","617"
"kourtneykardash","556"
"khloekardashian","696"
"Tee_Grizzley","101"
"1GunnaGunna","127"
"djkhaled","263"
"1future","496"
"Ninja","286"
"KingJames","1143"
"BrotherNature","796"
"JuiceWorlddd","164"
"lilpump","166"
"GordonRamsay","362"
"ArtistHBTL","94"
"ComplexSneakers","60"
"wojespn","495"
"FortniteGame","381"
"XXL","285"
"TheNotoriousMMA","376"
"RobGronkowski","173"
"GGYOUNGBOY","326"
"iamkevingates","191"
"Akademiks","193"
"richbrian","170"
"THESLUMPGOD","121"
"PostMalone","738"
"John_Cardiff_","189"
"carmeloanthony","309"
"Yg_Trece","179"
"chancetherapper","921"
"trvisXX","637"
"LilBibby_","163"
"tydollasign","136"
"goSwaeLee","119"
"LilReese300","108"
"1YoungTakeoff","189"
"youngthug","389"
"Migos","326"
"playboicarti","192"
"KodakBlack1k","400"
"UglyGod","187"
"okcthunder","128"
"OffsetYRN","260"
"QuavoStuntin","292"
"lilyachty","424"
"21savage","430"
"FamousDex","169"
"LILUZIVERT","421"
"MetroBoomin","290"
"ItsFoodPorn","158"
"KlayThompson","108"
"Kaepernick7","415"
"nikestore","297"
"gherbo","171"
"Drake","1320"
"lildurk","277"
"footlocker","165"
"Ronnie2K","133"
"nikebasketball","152"
"russwest44","325"
"JHarden13","310"
"KDTrey5","611"
"noahcent","215"
"AustinMcbroom","169"
"daisymarquez_","168"
"tinawoodsss","109"
"AndreaRussett","185"
"bretmanrock","322"
"Logic301","360"
"G_Eazy","255"
"MatthewEspinosa","100"
"KylieJenner","770"
"verizon","114"
"pascalguyon","91"
"benlandis","371"
"TPAIN","103"
"theweeknd","607"
"Jacquees","127"
"KameronBennett","324"
"Only_OneLA","105"
"gucci1017","524"
"KevinHart4real","862"
"lilduval","157"
"JussieSmollett","116"
"plies","114"
"TherealTaraji","327"
"chrisbrown","627"
"TEYANATAYLOR","125"
"iamoppose","110"
"MagicJohnson","278"
"iownjd","135"
"shaunking","332"
"Crowdfire","130"
"Kehlani","247"
"jamescharles","329"
"CatherinePaiz","151"
"russdiemon","317"
"Bible_Time","118"
"MLB","521"
"BrysonTlIIer","95"
"zaynmalik","302"
"SportsCenter","1223"
"49ers","118"
"NFL","920"
"KendallJenner","624"
"1Hakz_","135"
"6BillionPeople","222"
"VINNYGUADAGNINO","162"
"JColeNC","987"
"csydelko","183"
"DavidDobrik","237"
