"username","followers"
"_colebennett_",94
"_fllwrs",142
"_floridaman",117
"_morganadams_",94
"_youhadonejob1",107
"1future",496
"1gunnagunna",127
"1hakz_",135
"1youngtakeoff",189
"20committee",122
"21savage",430
"2chainz",310
"41strange",71
"49ers",118
"4everbrandy",125
"50cent",317
"5sos",142
"60minutes",121
"6billionpeople",222
"6ix9ine",88
"6lack",210
"aaronpaul_8",224
"aaronrodgers12",240
"ab84",186
"abbydphillip",93
"abc",497
"abdashsoul",130
"abhcosmetics",104
"ac360",133
"aclu",460
"acosta",365
"actuallynph",672
"adam22",110
"adamlevine",250
"adamparkhomenko",135
"adamsandler",114
"adamschefter",656
"adaripp",145
"adele",361
"adidas",118
"adidasoriginals",144
"adrianpeterson",116
"adultswim",119
"ahsfx",182
"ajenglish",135
"ajplus",131
"akademiks",193
"albertbrooks",127
"alexernst",122
"alexmorgan13",185
"alfranken",228
"algore",201
"aliciakeys",411
"alispagnola",254
"alissaviolet",101
"alleniverson",107
"alt_uscis",93
"altonbrown",141
"aly_raisman",128
"alyankovic",229
"alyssa_milano",353
"amandabynes",221
"amarch4ourlives",165
"amazingphil",95
"amazon",247
"ambnikkihaley",133
"amjoyshow",168
"amnestyusa",122
"amy_siskind",149
"amyklobuchar",170
"amyschumer",342
"ananavarro",366
"andersoncooper",577
"andersonpaak",105
"andre",83
"andrearussett",185
"andrewgillum",255
"andrewmayne",165
"andrewzimmern",99
"android",133
"andy",179
"andylassner",120
"andyrichter",192
"angela_rye",156
"angelayee",118
"annakendrick47",533
"anncoulter",200
"anncurry",120
"anselelgort",169
"antdavis23",122
"anthonyjeselnik",96
"antoni",101
"aoc",991
"ap",863
"aparnapkin",114
"aplusk",397
"apple",172
"applemusic",213
"aprildryan",232
"apstylebook",92
"arbys",111
"arianagrande",1055
"ariannahuff",160
"arimelber",193
"arithedon",67
"arizzo44",109
"artisthbtl",94
"asapferg",109
"ashanti",86
"asharangappa_",152
"ashbenzo",105
"ashleytisdale",135
"ashton5sos",106
"askaaronlee",135
"askaimeebeck",184
"astros",136
"asvpxrocky",334
"atlantafalcons",121
"att",96
"auschwitzmuseum",98
"austinmahone",119
"austinmcbroom",169
"autocorrects",120
"ava",241
"avengers",245
"avrillavigne",158
"awkwardgoogle",85
"awkwardposts",99
"ayannapressley",110
"ayeshacurry",125
"azizansari",398
"bakermayfield",176
"banks",97
"barackobama",2708
"barringtonmole",144
"barstoolbigcat",169
"barstoolsports",316
"bartbaker",101
"batemanjason",186
"bbcbreaking",613
"bbcnews",181
"bbcworld",582
"beckylynchwwe",121
"bellathorne",148
"benaffleck",164
"benjaminenfield",175
"benjaminwittes",137
"benlandis",371
"benshapiro",318
"berniesanders",761
"beschlossdc",136
"bestofnextdoor",119
"bet",174
"betmusic",166
"betoorourke",487
"bettemidler",212
"bettymwhite",140
"beyonce",379
"bflay",119
"bible_time",118
"bibopggresta",156
"bigboi",118
"bigkrit",103
"bigsean",560
"billboard",222
"billburr",156
"billclinton",648
"billgates",639
"billieeilish",171
"billkristol",172
"billmaher",507
"billnye",421
"billoreilly",232
"billratchet",100
"billsimmons",317
"billyeichner",224
"bindiirwin",117
"birbigs",113
"birdman5star",129
"bishopjakes",109
"biticonjustine",117
"bjnovak",172
"blackvoices",101
"blakegriffin23",259
"blakeshelton",389
"bleacherreport",728
"bobatl",97
"bobsaget",150
"boburnham",160
"bomani_jones",137
"bonappetit",130
"boogiecousins",113
"boosieofficial",98
"bostonglobe",88
"bourdain",270
"bouska",134
"bqquinn",95
"br_nba",107
"braddjaffy",108
"bradpaisley",134
"braves",111
"breakfastclubam",106
"breakingnews",349
"breenewsome",105
"breitbartnews",165
"brendonurie",173
"brentspiner",101
"bretbaier",152
"bretmanrock",322
"brianstelter",151
"brielarson",136
"brithume",132
"britneyspears",476
"broncos",107
"brothernature",796
"browns",111
"brunomars",447
"bryancranston",216
"bryceharper3",47
"brysontiller",381
"brysontliier",95
"bts_bighit",85
"bts_twt",109
"bubbawatson",117
"bunbtrillog",109
"bungie",107
"burgerking",132
"business",238
"businessinsider",145
"bustarhymes",158
"buster_espn",256
"buzzfeed",388
"buzzfeednews",159
"bwwings",112
"caa_official",103
"caitlyn_jenner",173
"callofduty",172
"calum5sos",115
"calvinharris",199
"camanpour",142
"cameron_kasky",179
"camerondallas",191
"cameronnewton",102
"camila_cabello",175
"camilamendes",123
"cammipham",154
"cantguardmike",94
"captainamerica",131
"captandrewluck",169
"caradelevingne",171
"cardiffbros",133
"carlyraejepsen",98
"carmeloanthony",309
"carrieffisher",131
"carrieunderwood",229
"caseykfrey",154
"catherinepaiz",151
"caucasianjames",83
"causewereguys",186
"cavs",157
"cbfowler",142
"cbsnews",380
"cbssports",129
"cdcemergency",98
"cdcgov",110
"cedentertainer",109
"celtics",156
"cfbplayoff",105
"chadwickboseman",193
"championsleague",121
"champssports",89
"chancetherapper",921
"chandlerriggs",102
"chanel",111
"change",101
"channingtatum",269
"charlesmblow",167
"charliekirk11",192
"charliesheen",325
"chefjoseandres",105
"chelseaclinton",409
"chelseahandler",388
"chelseaperetti",190
"cher",301
"chicagobears",141
"chicagobulls",156
"chicagotribune",112
"chickfila",160
"chicklet_hf",136
"chiefkeef",202
"chiiivlbes",111
"chipotletweets",161
"chloegmoretz",117
"chloekim",95
"chris_broussard",205
