handle,numberoftweets
abc,358
aclu,258
aei,267
ajam,0
algore,11
andersoncooper,5
anncoulter,313
austinscottga08,12
bbcworld,323
benniegthompson,40
berniesanders,277
bettymccollum04,86
billclinton,10
billpascrell,150
bloomberg,11
blumenauermedia,0
bobbyscott,57
boblatta,64
bradsherman,53
breitbartnews,328
brookingsinst,300
buzzfeedpol,73
call_me_dutch,56
cathymcmorris,26
catoinstitute,297
cbsnews,352
chelliepingree,39
chrislhayes,313
chrisvanhollen,54
chuckgrassley,97
clyburn,0
cnn,358
conawaytx11,22
congbillposey,27
congboyle,19
congculberson,0
congmikesimpson,25
congpalazzo,76
congressmangt,65
congressmanhice,69
congressmanraja,66
congressmanruiz,61
dailykos,329
darrellissa,2
daveloebsack,18
davereichert,0
dccc,249
desjarlaistn04,85
donaldnorcross,27
donlemon,5
dorismatsui,44
drnealdunnfl2,37
drphilroe,20
drudge_report,0
econus,278
edshow,0
eleanornorton,37
foxandfriends,0
foxnews,0
frankpallone,134
georgehwbush,0
gerryconnolly,37
gkbutterfield,39
glaad,304
glennbeck,91
gop,305
gopleader,115
govchristie,12
govmikehuckabee,131
gracenapolitano,28
grahamblog,0
greggharper,0
gstephanopoulos,7
guardianus,329
heritage,311
herrerabeutler,39
hillaryclinton,36
housedemocrats,90
housegop,299
hrc,299
huffpostpol,316
hurdonthehill,21
ingrahamangle,260
inhofepress,5
jacksonleetx18,176
jahimes,77
janschakowsky,106
jebbush,93
jeffflake,10
jefffortenberry,15
jerrymoran,57
jim_jordan,37
jimlangevin,66
jimpressoffice,36
joaquincastrotx,100
joebiden,248
johnboozman,82
johncornyn,266
johnkasich,25
judgecarter,22
judgetedpoe,8
juliabrownley26,0
keithellison,246
keithrothfus,39
kencalvert,43
lamarsmithtx21,0
lisamurkowski,167
mactxpress,6
maddow,256
marcorubio,196
mariodb,59
markamodeinv2,4
markwarner,55
marshablackburn,56
martinheinrich,54
maziehirono,29
mccaskilloffice,0
mcconnellpress,93
megynkelly,20
michaelcburgess,18
mike_pence,82
mikecrapo,71
mikekellypa,9
mittromney,12
motherjones,329
msnbc,352
nancypelosi,0
nbcnews,352
newshour,334
newtgingrich,90
newyorker,322
nikiinthehouse,0
nitalowey,42
normajtorres,48
npr,330
nra,208
nydiavelazquez,133
nytimes,346
occupywallst,0
patrickmchenry,14
pattymurray,155
peterroskam,0
peterwelch,4
petesessions,0
politico,334
potus,261
randcorporation,305
raul_labrador,0
realdonaldtrump,310
