handle,mean_rating_all,annotators_all,NAcount_all,NA_percent_all,mean_rating_attn,annotators_attn,NAcount_attn,NA_percent_attn,mean_rating_twtr,annotators_twtr,NAcount_twtr,NA_percent_twtr,mean_rating_pk,annotators_pk,NAcount_pk,NA_percent_pk,mean_rating_attn_twtr,annotators_attn_twtr,NAcount_attn_twtr,NA_percent_attn_twtr
_colebennett_,4.8,15,10,66.66666666666667,4.8,15,10,66.66666666666667,4.8,14,9,64.28571428571429,5,11,8,72.72727272727273,5,11,8,72.72727272727273
_fllwrs,3.857142857142857,15,8,53.333333333333336,3.5,14,8,57.142857142857146,3.857142857142857,13,6,46.15384615384615,3.8333333333333335,11,5,45.45454545454545,3.4,10,5,50
_floridaman,4.25,13,1,7.6923076923076925,4.454545454545454,12,1,8.333333333333334,4.3,10,0,0,4.4,5,0,0,5,4,0,0
_youhadonejob1,3.6666666666666665,12,6,50,3.6,11,6,54.54545454545455,3.6,9,4,44.44444444444444,4,7,4,57.142857142857146,4,6,4,66.66666666666667
1future,3.857142857142857,11,4,36.36363636363637,2.3333333333333335,7,4,57.142857142857146,3.857142857142857,10,3,30,3.857142857142857,8,1,12.5,2.3333333333333335,4,1,25
1gunnagunna,3,12,6,50,3,11,5,45.45454545454545,3,7,4,57.142857142857146,4,3,1,33.333333333333336,4,3,1,33.333333333333336
1hakz_,2.8333333333333335,17,11,64.70588235294117,2.6,16,11,68.75,3,11,6,54.54545454545455,3.2,13,8,61.53846153846154,3,12,8,66.66666666666667
1youngtakeoff,3.272727272727273,15,4,26.666666666666668,3.2222222222222223,13,4,30.76923076923077,3.5,10,2,20,2.8,8,3,37.5,3.25,7,3,42.857142857142854
20committee,5.111111111111111,15,6,40,5.111111111111111,15,6,40,5.111111111111111,13,4,30.76923076923077,4.6,9,4,44.44444444444444,4.6,9,4,44.44444444444444
21savage,3.4,14,9,64.28571428571429,3.75,13,9,69.23076923076923,3.4,10,5,50,4,11,7,63.63636363636363,4.666666666666667,10,7,70
2chainz,3.9,16,6,37.5,3.9,16,6,37.5,4.25,12,4,33.333333333333336,3.8333333333333335,9,3,33.333333333333336,3.8333333333333335,9,3,33.333333333333336
49ers,3.25,11,3,27.272727272727273,3.25,11,3,27.272727272727273,4,7,2,28.571428571428573,3.3333333333333335,3,0,0,3.3333333333333335,3,0,0
4everbrandy,3.1333333333333333,19,4,21.05263157894737,2.6153846153846154,16,3,18.75,3.75,10,2,20,3,6,2,33.333333333333336,1.6666666666666667,5,2,40
50cent,3.6,14,4,28.571428571428573,3.6,14,4,28.571428571428573,3.5555555555555554,10,1,10,4,8,2,25,4,8,2,25
5sos,3.3333333333333335,11,8,72.72727272727273,2,10,8,80,4,8,6,75,3.3333333333333335,8,5,62.5,2,7,5,71.42857142857143
60minutes,3.75,14,2,14.285714285714286,3.5454545454545454,13,2,15.384615384615385,3.625,9,1,11.11111111111111,3.5714285714285716,8,1,12.5,3.1666666666666665,7,1,14.285714285714286
6billionpeople,3,13,5,38.46153846153846,3,11,3,27.272727272727273,3.142857142857143,10,3,30,3,9,3,33.333333333333336,3,8,2,25
6ix9ine,3.125,16,8,50,3,13,6,46.15384615384615,3.142857142857143,12,5,41.666666666666664,3,7,3,42.857142857142854,2.6666666666666665,5,2,40
6lack,2.4285714285714284,18,4,22.22222222222222,2.3076923076923075,16,3,18.75,2.888888888888889,12,3,25,2.4444444444444446,11,2,18.181818181818183,2.25,10,2,20
aaronpaul_8,4,11,4,36.36363636363637,2.75,8,4,50,4.333333333333333,9,3,33.333333333333336,4.5,8,4,50,3.5,6,4,66.66666666666667
aaronrodgers12,4.2727272727272725,17,6,35.294117647058826,4.4,15,5,33.333333333333336,4.625,12,4,33.333333333333336,3.857142857142857,8,1,12.5,4,7,1,14.285714285714286
ab84,2.8333333333333335,12,6,50,2.8333333333333335,12,6,50,2.6,8,3,37.5,3.6666666666666665,5,2,40,3.6666666666666665,5,2,40
abbydphillip,3.8333333333333335,15,9,60,3.8,13,8,61.53846153846154,4.2,9,4,44.44444444444444,4.333333333333333,6,3,50,4.5,4,2,50
abc,4.2727272727272725,12,1,8.333333333333334,4,10,1,10,4.111111111111111,9,0,0,4.571428571428571,7,0,0,4.2,5,0,0
abdashsoul,3.4,14,4,28.571428571428573,3.4,14,4,28.571428571428573,3.625,10,2,20,4.333333333333333,8,2,25,4.333333333333333,8,2,25
abhcosmetics,3.4615384615384617,17,4,23.529411764705884,3.2,14,4,28.571428571428573,3.6666666666666665,14,2,14.285714285714286,4.125,10,2,20,4,7,2,28.571428571428573
ac360,2.8125,18,2,11.11111111111111,2.769230769230769,15,2,13.333333333333334,3.0714285714285716,15,1,6.666666666666667,2.857142857142857,7,0,0,2.75,4,0,0
aclu,1.5,12,2,16.666666666666668,1.5,11,1,9.090909090909092,1.625,9,1,11.11111111111111,1.6666666666666667,6,0,0,1.6666666666666667,6,0,0
acosta,3,17,5,29.41176470588235,3,16,4,25,4,7,3,42.857142857142854,2.5,9,3,33.333333333333336,2.5,9,3,33.333333333333336
actuallynph,2.7777777777777777,10,1,10,2.4285714285714284,8,1,12.5,2.7777777777777777,10,1,10,3.142857142857143,8,1,12.5,2.8,6,1,16.666666666666668
adam22,3.375,17,9,52.94117647058823,2.6666666666666665,15,9,60,3.375,14,6,42.857142857142854,3.6666666666666665,10,4,40,2.75,8,4,50
adamlevine,2.8461538461538463,15,2,13.333333333333334,2.5833333333333335,14,2,14.285714285714286,3.1,12,2,16.666666666666668,3,13,1,7.6923076923076925,2.727272727272727,12,1,8.333333333333334
adamparkhomenko,2.4444444444444446,17,8,47.05882352941177,2.25,16,8,50,2.3333333333333335,8,2,25,2.6666666666666665,12,6,50,2.4,11,6,54.54545454545455
adamsandler,3.7,12,2,16.666666666666668,3.6666666666666665,11,2,18.181818181818183,3.7,11,1,9.090909090909092,4.4,5,0,0,4.5,4,0,0
adamschefter,3.3333333333333335,10,4,40,3.3333333333333335,10,4,40,3.3333333333333335,9,3,33.333333333333336,3.6666666666666665,6,3,50,3.6666666666666665,6,3,50
adele,2.9285714285714284,18,4,22.22222222222222,2.4166666666666665,16,4,25,3,16,4,25,3.625,9,1,11.11111111111111,2.8333333333333335,7,1,14.285714285714286
adidas,3.25,11,3,27.272727272727273,3.25,11,3,27.272727272727273,3.142857142857143,8,1,12.5,3.5,7,1,14.285714285714286,3.5,7,1,14.285714285714286
adidasoriginals,3.8333333333333335,16,4,25,3.8333333333333335,16,4,25,3.909090909090909,14,3,21.428571428571427,4,11,3,27.272727272727273,4,11,3,27.272727272727273
adrianpeterson,4.166666666666667,12,6,50,3.8,11,6,54.54545454545455,4.4,10,5,50,5.333333333333333,6,3,50,5,5,3,60
adultswim,2.3636363636363638,12,1,8.333333333333334,2.3636363636363638,11,0,0,2.3636363636363638,11,0,0,2.3333333333333335,10,1,10,2.3333333333333335,9,0,0
ahsfx,3.9166666666666665,17,5,29.41176470588235,3.6363636363636362,16,5,31.25,3.9166666666666665,16,4,25,3.6,8,3,37.5,3.6,8,3,37.5
ajenglish,2.888888888888889,13,4,30.76923076923077,2.7142857142857144,11,4,36.36363636363637,3,11,3,27.272727272727273,3.6,8,3,37.5,3.6666666666666665,6,3,50
ajplus,3,10,5,50,1.3333333333333333,8,5,62.5,3,7,2,28.571428571428573,4.333333333333333,5,2,40,2,3,2,66.66666666666667
akademiks,3.4166666666666665,16,4,25,2.9,14,4,28.571428571428573,3.875,10,2,20,3.4285714285714284,9,2,22.22222222222222,3,8,2,25
albertbrooks,2.125,14,6,42.857142857142854,2.125,14,6,42.857142857142854,2.3333333333333335,7,4,57.142857142857146,2.5,12,6,50,2.5,12,6,50
alexernst,4.5,10,6,60,4.5,9,5,55.55555555555556,4.5,7,3,42.857142857142854,4.5,6,4,66.66666666666667,4.5,5,3,60
alexmorgan13,3.5,10,6,60,3,9,6,66.66666666666667,3.5,8,4,50,5,4,3,75,NaN,3,3,100
alfranken,3.8,11,1,9.090909090909092,3,7,0,0,4.111111111111111,9,0,0,4.4,5,0,0,3.6666666666666665,3,0,0
algore,2.6315789473684212,20,1,5,2.2941176470588234,17,0,0,2.625,16,0,0,2.642857142857143,15,1,6.666666666666667,2.1666666666666665,12,0,0
aliciakeys,2.3125,18,2,11.11111111111111,1.7142857142857142,16,2,12.5,2.7,11,1,9.090909090909092,2.2,10,0,0,1.7777777777777777,9,0,0
alispagnola,3.5,13,7,53.84615384615385,3.25,11,7,63.63636363636363,3.75,7,3,42.857142857142854,3.5,6,4,66.66666666666667,2,5,4,80
alissaviolet,4.1,16,6,37.5,4.222222222222222,15,6,40,4.5,12,4,33.333333333333336,5,7,3,42.857142857142854,5,7,3,42.857142857142854
alleniverson,3.272727272727273,16,5,31.25,3.25,12,4,33.333333333333336,3.5555555555555554,12,3,25,3.625,11,3,27.272727272727273,3.8,7,2,28.571428571428573
alt_uscis,3.2941176470588234,22,5,22.727272727272727,3.2666666666666666,18,3,16.666666666666668,3.25,19,3,15.789473684210526,3.727272727272727,15,4,26.666666666666668,3.7777777777777777,11,2,18.181818181818183
altonbrown,3,10,5,50,2,9,5,55.55555555555556,4,6,3,50,4,4,3,75,4,4,3,75
aly_raisman,3,11,4,36.36363636363637,2.3333333333333335,10,4,40,3.6,7,2,28.571428571428573,5.5,4,2,50,4,3,2,66.66666666666667
alyankovic,3.5714285714285716,13,6,46.15384615384615,3.6666666666666665,11,5,45.45454545454545,3.5714285714285716,11,4,36.36363636363637,4.666666666666667,6,3,50,4.666666666666667,6,3,50
alyssa_milano,2.6666666666666665,12,3,25,2.25,11,3,27.272727272727273,3,9,2,22.22222222222222,3.142857142857143,9,2,22.22222222222222,2.6666666666666665,8,2,25
amandabynes,3,17,3,17.647058823529413,2.4166666666666665,14,2,14.285714285714286,3.6666666666666665,11,2,18.181818181818183,3.5,11,1,9.090909090909092,2.75,8,0,0
amarch4ourlives,2.923076923076923,17,4,23.529411764705884,2.6363636363636362,15,4,26.666666666666668,3,13,2,15.384615384615385,2.75,8,0,0,2.2857142857142856,7,0,0
amazingphil,3,13,4,30.76923076923077,3,13,4,30.76923076923077,3.1666666666666665,9,3,33.333333333333336,3.4285714285714284,9,2,22.22222222222222,3.4285714285714284,9,2,22.22222222222222
amazon,3.888888888888889,18,0,0,3.625,16,0,0,4.3076923076923075,13,0,0,4.076923076923077,13,0,0,3.727272727272727,11,0,0
ambnikkihaley,5.5,15,3,20,5.363636363636363,14,3,21.428571428571427,5.3,11,1,9.090909090909092,5.2,11,1,9.090909090909092,5,10,1,10
