"user","ideology"
"____zaaach","0.125661346855074"
"___Nvme",NA
"___Swerve","1.03643338949379"
"__08_28",NA
"__AP3",NA
"__Argie__",NA
"__arleee__",NA
"__BagLadyy",NA
"__Beautyful",NA
"__biancanodal",NA
"__christarenee",NA
"__gabbelle",NA
"__Galyyyxoxo__",NA
"__iytsmaddss__","1.47579102817917"
"__Lucidd_",NA
"__miggyr",NA
"__MOOK_",NA
"__natt21",NA
"__Nena_g__",NA
"__PrettyAlexiss","-Inf"
"__RAISEUP",NA
"__Steve__O_",NA
"__TaylorDavis__",NA
"__zoelynn__",NA
"__zoepowell__",NA
"_1flyy",NA
"_A_Smith",NA
"_aaliyahDAI",NA
"_aicilram",NA
"_AkronOH",NA
"_alexandra9","-1.2815515655446"
"_AlexandriaaR",NA
"_alexistc_",NA
"_Alexusxoxo",NA
"_almightybam_",NA
"_AlongCameCort",NA
"_alyssaaayoo",NA
"_aminahhh",NA
"_ArlingtonTX",NA
"_august30_",NA
"_awysssa","1.22652812003661"
"_ayedrianne",NA
"_ayeshiab",NA
"_Beauty_Monae",NA
"_bebeD",NA
"_beleezy",NA
"_bellasamira",NA
"_Bertoo__",NA
"_bevelynnn",NA
"_Big_Mac8",NA
"_bigheadfred_",NA
"_BlackkChina_",NA
"_BlaknBlu_",NA
"_boweknows_","1.47579102817917"
"_brandijo",NA
"_brendasierra","1.22652812003661"
"_BrianMartinez1",NA
"_briannabb",NA
"_britneeyn",NA
"_BrittneyDopee",NA
"_brivera16",NA
"_broccoli143",NA
"_Bucky_Buck","-2.32634787404084"
"_carrie_a",NA
"_casSandraaa_","1.47579102817917"
"_CassRose_",NA
"_ChicagoMusic",NA
"_christian1400",NA
"_cmeinc_",NA
"_cmwxoo",NA
"_creoleDOLL",NA
"_cruzitaaa","1.22652812003661"
"_Cynthiaa12",NA
"_DanielleSly",NA
"_danimalvarez","-2.05374891063182"
"_danniedanster",NA
"_deandremoore",NA
"_deeriley21",NA
"_demographics","-2.05374891063182"
"_DesireeSimone",NA
"_DetroitPlayer_","1.22652812003661"
"_devdnerves",NA
"_dillon567","1.22652812003661"
"_Disharmonious",NA
"_DVMEO",NA
"_emmacookk_",NA
"_ericarenee","-2.05374891063182"
"_Esmooth_",NA
"_espibarrera",NA
"_etherealbitch",NA
"_exotikaa",NA
"_FauzanHakim",NA
"_foreverloaded",NA
"_gabbypeterson",NA
"_geraldinnn",NA
"_giannyyy",NA
"_Goey","1.40507156030963"
"_goldenmvmi",NA
"_groovyjazz",NA
"_hadeelmohamed","0.2533471031358"
"_hannahbeanz_",NA
"_hedayahh",NA
"_HelloKeem",NA
"_HottSauce",NA
"_iamquentin",NA
"_IAmRyanShimko","1.22652812003661"
"_iamthea_",NA
"_iTRTH",NA
"_ITS_AG_",NA
"_ItsCesarBro_",NA
"_itsmscarter",NA
"_itssamiii",NA
"_IttyBittyBri",NA
"_ivetteH","0.439913165673234"
"_J0EY18",NA
"_j0sshhh_",NA
"_jacob09","-1.88079360815125"
"_jacobnoll_",NA
"_jadaaKRIS",NA
"_jaeeceee",NA
"_Jasumei_",NA
"_jaybldj",NA
"_jaylynnbabby",NA
"_jdesantiago_",NA
"_jenne",NA
"_Jennnn__",NA
"_jlbs","-2.05374891063182"
"_JLewiii",NA
"_jocy123_",NA
"_Joni19",NA
"_jordanem","1.22652812003661"
"_Jsm000ve",NA
"_JudasIschariot",NA
"_JustJuice",NA
"_JustTweet",NA
"_Kaiitlyynn",NA
"_kamiahx1",NA
"_katethegreat_3",NA
"_kaybaeee",NA
"_Kayyee_",NA
"_kiaryah",NA
"_Kierraboo13_",NA
"_Kiki1129_","1.22652812003661"
"_kingalexis",NA
"_KingTay_12",NA
"_kmoriarty",NA
"_laniloveeee","-1.88079360815125"
"_laniyahhhh",NA
"_laurenxxo",NA
"_LeissaMendoza",NA
"_lemonae",NA
"_LeonelGonzale",NA
"_leonidas26","-1.88079360815125"
"_LeshondaParker",NA
"_lessigsoulll",NA
"_LilG5",NA
"_lilipoppin",NA
"_lorenzo_d33",NA
"_lovedes_",NA
"_lovejjk",NA
"_Loyalty_2",NA
"_luishurtadoIII","-2.05374891063182"
"_luisorlouie","-1.1263911290388"
"_lyssaanicole","1.22652812003661"
"_maaaaahina_",NA
"_macccy11",NA
"_mamanena",NA
"_MarcsonSilva",NA
"_mariaaxbizzle",NA
"_marydonyae",NA
"_MaryGleason",NA
"_maudesty",NA
"_Maulo",NA
"_McCuaig_",NA
"_mcfadden01",NA
"_mirandaa",NA
"_mjxliana",NA
"_monaee18",NA
"_MoneyZoe",NA
"_mostBLESSED_","1.22652812003661"
"_Nackles_",NA
"_Nishaveli",NA
"_NobodysHome",NA
"_notevenenough",NA
"_ObeyMyBeauty_",NA
"_OfficialStevo",NA
"_OhPapi_","0.2533471031358"
"_paeez_",NA
"_Paigelizaabeth",NA
"_Phonzo_",NA
"_pinavelasco","-0.385320466407568"
"_pmatthey",NA
"_PrettyMay_",NA
"_puresv",NA
"_Queya",NA
"_rachelswartz",NA
"_radlisuhh",NA
"_Rangop",NA
"_ReikoKang","0.412463129441405"
"_RicHomieJuan_",NA
"_rjwalker_","1.22652812003661"
"_Roger08",NA
"_Ronnybo",NA
